Crime Type,Alert Type,Location Address,Latitude,Longitude,Time,Severity,Is Update
Burglary,Timely Warning,"BCB Café Coffee Cart, Warren Mall, UC San Diego",32.8801,-117.234,2025-02-04T08:03:00,Medium,False
Burglary,Timely Warning,"Pepper Canyon Apartments, UC San Diego",32.878,-117.239,2025-01-30T07:59:00,Medium,False
Burglary,Timely Warning,"Muir College Residential Housing, UC San Diego",32.8801,-117.234,2025-01-30T15:45:00,Medium,False
Sexual Assault Known Perpetrator,Timely Warning,"Eighth College, UC San Diego",32.8801,-117.234,2025-01-27T16:06:00,High,False
Unspecified,Timely Warning,"La Jolla, CA",32.8449,-117.274,2025-01-23T00:00:00,Low,True
Unspecified,Triton Alert,Gilman Dr. at Via Alicante,32.8794,-117.2415,01/23/2025,Low,True
Unspecified,Triton Alert,Gilman Dr. at Via Alicante,32.8794,-117.2415,01/23/2025,Medium,True
Burglary,Timely Warning,"KSDT radio office in the Old Student Center, UC San Diego",32.8801,-117.234,01/23/2025,Medium,False
Unspecified,Triton Alert,Gilman Dr. at Via Alicante,32.8794,-117.2415,01/23/2025,Medium,False
Unspecified,Other,UC San Diego,32.8801,-117.234,01/17/2025,Low,True
Unspecified,Triton Alert,RIMAC/Liontree Arena and northern section of campus,32.8801,-117.234,01/17/2025,High,True
Unspecified,Other,RIMAC/Liontree Arena and northern section of campus,32.8801,-117.234,01/17/2025,High,True
Unspecified,Other,RIMAC/Liontree Arena,32.8801,-117.234,01/17/2025,High,False
Sexual Battery,Timely Warning,Pepper Canyon Living and Learning Neighborhood,32.8782,-117.2384,01/16/2025,High,True
Sexual Battery,Timely Warning,Pepper Canyon Living and Learning Neighborhood,32.8782,-117.2384,01/16/2025,High,False
Burglary,Timely Warning,"Cognitive Sciences Building, UC San Diego",32.8801,-117.234,2025-01-02T00:00:00,Medium,False
Burglary,Timely Warning,"Pepper Canyon Apartments, UC San Diego",32.8782,-117.2392,2025-01-04T17:20:00,Medium,False
Aggravated Assault,Timely Warning,"Naga Way and Biological Grade, UC San Diego",32.8823,-117.2353,2024-12-29T10:47:00,High,False
Burglary,Timely Warning,"One Miramar Apartments, UC San Diego",32.8819,-117.2382,2024-12-26T17:01:00,Medium,False
Unspecified,Community Alert Bulletin,"9600 Block of Black Gold Road, San Diego",32.7788,-117.1542,2024-12-04T00:00:00,High,True
Unspecified,Community Alert Bulletin,9600 Block of Black Gold Road,32.8866,-117.233,12/04/2024,High,False
Unspecified,Community Alert Bulletin,UC San Diego,32.8801,-117.2362,11/20/2024,Low,True
